predicate,object,location,time,duration,more
calculate,cash,accounting,morning|noon|afternoon|evening|nighttime,1h2h,Yes
calculate,figure,accounting,morning|noon|afternoon|evening,2h,Yes
consult,accountant,accounting,morning|noon|afternoon,15m30m,Yes
file,tax,accounting,morning|noon|afternoon,1h2h,Yes
get,accountant,accounting,morning|noon|afternoon|evening,2h,No
leave,reception,accounting,morning|noon|afternoon,15m30m,Yes
pass,record,accounting,morning|noon|afternoon,1h2h,Yes
review,record,accounting,afternoon,30m1h,Yes
review,sale,accounting,morning|afternoon,1h2h,No
visit,accountant,accounting,noon,30m1h,No
board,aircraft,airport,morning|noon|afternoon|evening|nighttime,0m15m,Yes
board,aircraft,airport,morning|noon|afternoon|evening|nighttime,0m15m,Yes
book,flight,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
buy,food,airport,morning|noon|afternoon|evening|nighttime,30m1h,Yes
catch,aircraft,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
depart,Colonel_Blimp,airport,morning|noon|afternoon|evening|nighttime,none,No
depart,aircraft,airport,morning|noon|afternoon|evening|nighttime,none,No
depart,aircraft,airport,morning|noon|afternoon|evening|nighttime,none,No
depart,aircraft,airport,morning|noon|afternoon|evening|nighttime,0m15m,Yes
fly,aircraft,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
get_along_with,aircraft,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
land,Colonel_Blimp,airport,morning|noon|afternoon|evening|nighttime,none,No
land,aircraft,airport,morning|noon|afternoon|evening|nighttime,none,No
land,aircraft,airport,morning|noon|afternoon|evening|nighttime,none,No
sit,aircraft,airport,morning|noon|afternoon|evening|nighttime,30m1h,Yes
buy,food,amusement_park,morning|noon|afternoon|evening,2h,Yes
buy,gift,amusement_park,morning|noon|afternoon|evening,15m30m,Yes
eat,cotton_candy,amusement_park,morning|noon|afternoon|evening,15m30m,Yes
eat,hotdog,amusement_park,morning|noon|afternoon,15m30m,Yes
enjoy,amusement_park,amusement_park,morning|noon|afternoon|evening,none,Yes
ride,drive,amusement_park,morning|noon|afternoon|evening,0m15m,Yes
ride,play,amusement_park,morning|noon|afternoon|evening,2h,No
ride,roller_coaster,amusement_park,morning|noon|afternoon|evening|nighttime,2h,Yes
ride,rollercoster,amusement_park,morning|noon|afternoon|evening,2h,Yes
swim,swimming_pool,amusement_park,noon,2h,Yes
buy,aquarium,aquarium,morning|evening,30m1h,No
buy,food,aquarium,morning|noon|afternoon|evening,15m30m,Yes
see,animal,aquarium,evening,0m15m,Yes
see,fish,aquarium,morning,2h,No
swim,fish,aquarium,morning|noon|afternoon|evening|nighttime,none,Yes
visit,aquarium,aquarium,evening,2h,Yes
watch,fish,aquarium,morning|noon|afternoon|evening|nighttime,2h,No
watch,fish,aquarium,morning|noon|afternoon|evening,1h2h,Yes
watch,fish,aquarium,morning|noon|afternoon|evening|nighttime,none,Yes
watch,fish,aquarium,morning|noon|afternoon|evening,30m1h,Yes
analyze,art,art_gallery,morning|noon|afternoon|evening,2h,Yes
buy,ticket,art_gallery,morning|noon|afternoon|evening,0m15m,Yes
drink,wine,art_gallery,afternoon|evening|nighttime,0m15m,Yes
question,curator,art_gallery,noon|afternoon|evening|nighttime,0m15m,Yes
read,book,art_gallery,morning,15m30m,Yes
see,art,art_gallery,afternoon,1h2h,No
see,art,art_gallery,morning|noon|afternoon|evening|nighttime,30m1h,Yes
see,art,art_gallery,noon|afternoon|evening,30m1h,Yes
see,art,art_gallery,morning|noon|afternoon,2h,No
see,art,art_gallery,morning|noon|afternoon|evening,2h,Yes
get,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
lodge,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
lodge,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
make,deposit,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,cash,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,cash,atm,morning,0m15m,No
withdraw,cash,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
bake,bread,bakery,morning|noon|afternoon,30m1h,Yes
bake,bread,bakery,morning|noon|afternoon,1h2h,Yes
bake,cake,bakery,morning|noon|afternoon|evening,2h,Yes
bake,ring,bakery,morning|noon,0m15m,Yes
buy,bread,bakery,morning|noon|afternoon,0m15m,Yes
buy,cake,bakery,morning|noon|afternoon|evening,30m1h,Yes
buy,cake,bakery,noon|afternoon,0m15m,Yes
buy,cake,bakery,morning|noon|afternoon|evening,15m30m,Yes
buy,ring,bakery,morning,0m15m,No
eat,bread,bakery,morning|noon|afternoon|evening,0m15m,Yes
order,cake,bakery,morning|noon|afternoon|evening,15m30m,Yes
cash,check,bank,morning|noon|afternoon,15m30m,Yes
get,money,bank,afternoon,0m15m,Yes
get,money,bank,morning|noon|afternoon|evening|nighttime,0m15m,Yes
lodge,bill,bank,morning|noon|afternoon|evening,0m15m,No
lodge,check,bank,morning|noon|afternoon|evening,15m30m,No
lodge,money,bank,morning|noon|afternoon|evening,0m15m,Yes
lodge,money,bank,morning|noon|afternoon,15m30m,No
lodge,money,bank,morning|noon|afternoon,30m1h,No
lodge,money,bank,morning|noon|afternoon,0m15m,Yes
withdraw,money,bank,morning|noon|afternoon,0m15m,Yes
argue,waiter,bar,evening|nighttime,1h2h,Yes
drink,alcohol,bar,afternoon|evening|nighttime,1h2h,Yes
drink,alcohol,bar,afternoon|evening|nighttime,15m30m,Yes
drink,alcohol,bar,afternoon|evening|nighttime,15m30m,Yes
drink,alcohol,bar,afternoon|evening|nighttime,1h2h,Yes
drink,alcohol,bar,evening|nighttime,1h2h,Yes
meet,person,bar,afternoon|evening|nighttime,2h,Yes
meet,person,bar,noon|afternoon|evening|nighttime,2h,Yes
order,shooting,bar,noon|afternoon|evening|nighttime,2h,Yes
talk,subject,bar,evening|nighttime,2h,Yes
apply,facial,beauty_salon,morning|evening,1h2h,No
curl,hair,beauty_salon,morning|noon|afternoon|evening,1h2h,Yes
cut,hair,beauty_salon,morning|noon|afternoon|evening,30m1h,Yes
cut,hair,beauty_salon,morning,15m30m,Yes
cut,hair,beauty_salon,morning|noon|afternoon,30m1h,Yes
get,treatment,beauty_salon,morning|noon|afternoon|evening,30m1h,Yes
make,make up,beauty_salon,morning|noon|afternoon|evening,1h2h,Yes
pare,hair,beauty_salon,morning|noon|afternoon|evening,30m1h,Yes
perm,hair,beauty_salon,morning|noon|afternoon,30m1h,Yes
wash,hair,beauty_salon,morning|noon|afternoon,15m30m,Yes
buy,bicycle,bicycle_store,morning|noon|afternoon,15m30m,Yes
buy,bicycle,bicycle_store,morning|noon|afternoon|evening,none,Yes
buy,bicycle,bicycle_store,morning|noon|afternoon,30m1h,Yes
buy,bicycle,bicycle_store,morning|noon|afternoon|evening,1h2h,Yes
buy,wheel,bicycle_store,noon|afternoon|evening,0m15m,Yes
consider,bicycle,bicycle_store,morning|noon|afternoon,15m30m,Yes
repair,wheel,bicycle_store,morning|noon|afternoon|evening,1h2h,Yes
replace,wheel,bicycle_store,morning|noon|afternoon|evening,15m30m,Yes
test_drive,bicycle,bicycle_store,morning|noon|afternoon|evening,30m1h,Yes
travel,bicycle,bicycle_store,morning,30m1h,No
buy,book,book_store,morning|noon|afternoon|evening,15m30m,Yes
buy,book,book_store,morning|noon|afternoon,30m1h,Yes
buy,book,book_store,evening,30m1h,Yes
peruse,book,book_store,morning|noon|afternoon|evening,1h2h,Yes
read,book,book_store,afternoon,1h2h,Yes
read,book,book_store,morning|noon|afternoon|evening|nighttime,0m15m,Yes
read,book,book_store,morning|noon|afternoon|evening,30m1h,Yes
read,book,book_store,morning|noon|afternoon,30m1h,Yes
read,magazine,book_store,morning|noon|afternoon|evening,1h2h,Yes
sign,book,book_store,morning|noon|afternoon|evening,2h,Yes
buy,food,bowling_alley,noon|afternoon|evening,1h2h,Yes
eat,hotdog,bowling_alley,morning|noon|afternoon|evening|nighttime,0m15m,Yes
eat,nacho,bowling_alley,noon|afternoon|evening|nighttime,0m15m,Yes
rent,shoe,bowling_alley,morning|noon|afternoon|evening|nighttime,2h,Yes
roll,ball,bowling_alley,noon|afternoon|evening,1h2h,Yes
sing,karaoke,bowling_alley,morning|noon|afternoon|evening|nighttime,2h,Yes
throw,ball,bowling_alley,noon|afternoon|evening,1h2h,Yes
throw,ball,bowling_alley,morning|noon|afternoon|evening|nighttime,30m1h,No
travel,ball,bowling_alley,evening,1h2h,No
travel,bowling,bowling_alley,evening,2h,Yes
travel,strike,bowling_alley,morning|noon|afternoon|evening|nighttime,0m15m,Yes
catch,bus,bus_station,morning,15m30m,No
catch,bus,bus_station,morning|noon|afternoon|evening|nighttime,1h2h,Yes
disembark,bus_terminal,bus_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
enter,bus,bus_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
enter,bus,bus_station,morning|noon|afternoon|evening|nighttime,15m30m,Yes
get,off,bus_station,afternoon,0m15m,Yes
pick_up,set,bus_station,morning,0m15m,Yes
ride,bus,bus_station,morning|noon|afternoon|evening,30m1h,Yes
take,reservation,bus_station,morning|noon|afternoon|evening|nighttime,30m1h,Yes
take_a_dare,passenger,bus_station,morning,15m30m,Yes
wait,driver,bus_station,morning|noon|afternoon|evening|nighttime,30m1h,Yes
buy,food,cafe,morning|noon|afternoon|evening,30m1h,Yes
drink,coffee,cafe,morning|noon|afternoon,30m1h,Yes
drink,food,cafe,morning|noon|afternoon|evening,30m1h,No
drink,food,cafe,morning|noon|afternoon|evening,15m30m,Yes
drink,food,cafe,morning|noon|afternoon|evening|nighttime,0m15m,Yes
drink,food,cafe,evening,0m15m,Yes
meet_up_with,person,cafe,morning|noon|afternoon|evening,30m1h,Yes
order,coffee,cafe,morning|noon|afternoon|evening|nighttime,15m30m,Yes
order,food,cafe,morning|noon|afternoon|evening,0m15m,Yes
order,food,cafe,morning|noon|afternoon|evening|nighttime,0m15m,Yes
barbeque,sausage,campground,morning|noon|afternoon|evening|nighttime,2h,Yes
flip,tent,campground,morning|noon|afternoon|evening|nighttime,15m30m,Yes
flip,tent,campground,morning|noon|afternoon|evening|nighttime,2h,Yes
flip,tent,campground,morning|noon|afternoon,0m15m,Yes
get_down,fire,campground,morning|noon|afternoon|evening,0m15m,Yes
roast,marshmallow,campground,morning|noon|afternoon|evening|nighttime,15m30m,Yes
sing_along,fire,campground,afternoon|evening|nighttime,30m1h,Yes
sleep,homosexual,campground,afternoon|evening|nighttime,none,Yes
sleep,sleeping_bag,campground,morning|noon|afternoon|evening|nighttime,2h,Yes
stay,campsite,campground,afternoon|nighttime,2h,Yes
stool,Cam,campground,evening,1h2h,Yes
buy,car,car_dealer,morning|noon|afternoon|evening,2h,Yes
buy,car,car_dealer,morning|noon|afternoon,2h,Yes
buy,car,car_dealer,morning|noon|afternoon|evening,1h2h,Yes
buy,vehicle,car_dealer,morning|noon|afternoon|evening|nighttime,1h2h,Yes
choose,truck,car_dealer,morning|noon|afternoon|evening|nighttime,2h,Yes
rent,car,car_dealer,morning|afternoon|evening,2h,Yes
sell,car,car_dealer,noon,2h,Yes
sell,car,car_dealer,morning|noon|evening,1h2h,No
trade,car,car_dealer,morning|noon|afternoon|evening|nighttime,2h,Yes
trade,car,car_dealer,morning|noon|afternoon|evening,1h2h,Yes
get,car,car_rental,morning|noon|afternoon|evening|nighttime,2h,Yes
get,car,car_rental,morning,30m1h,No
hire_out,car,car_rental,morning,0m15m,No
hire_out,car,car_rental,morning,2h,Yes
rent,avant-garde,car_rental,morning|noon|afternoon|evening|nighttime,30m1h,Yes
rent,car,car_rental,morning|noon|afternoon|evening,1h2h,Yes
rent,car_rental,car_rental,morning|afternoon,1h2h,No
rent,truck,car_rental,noon|afternoon,2h,No
rent,vehicle,car_rental,morning,2h,No
rent,vehicle,car_rental,morning|noon|afternoon|evening|nighttime,30m1h,Yes
return,car,car_rental,morning|noon|afternoon|evening|nighttime,15m30m,Yes
change,car,car_repair,morning|noon|afternoon,30m1h,Yes
change,car,car_repair,noon,30m1h,Yes
change,car,car_repair,morning|noon|afternoon|evening,2h,Yes
change,caravan,car_repair,afternoon,15m30m,Yes
change,oil,car_repair,morning|noon|afternoon|evening,0m15m,Yes
change,oil,car_repair,morning|noon|afternoon|evening,30m1h,Yes
change,tire,car_repair,morning|noon|afternoon|evening,15m30m,Yes
pay,machinist,car_repair,morning|noon|afternoon,15m30m,Yes
pay,machinist,car_repair,morning|noon|afternoon,0m15m,No
prevent,vehicle,car_repair,afternoon,none,No
clean,rug,car_wash,morning|noon|afternoon|evening|nighttime,15m30m,Yes
clean,vehicle,car_wash,morning,15m30m,No
clean,vehicle,car_wash,morning|afternoon|evening,0m15m,No
pay,Teller,car_wash,morning|noon|afternoon,0m15m,Yes
wash,car,car_wash,morning|noon|afternoon|evening,15m30m,Yes
wash,car,car_wash,morning|noon|afternoon|evening|nighttime,30m1h,No
wash,car,car_wash,morning|noon|afternoon|evening|nighttime,15m30m,Yes
wash,vacuum,car_wash,morning|noon|afternoon|evening,0m15m,No
wash,vehicle,car_wash,morning|noon|afternoon,15m30m,Yes
wax,vehicle,car_wash,morning|noon|afternoon,15m30m,No
buy,food,casino,noon|afternoon|evening,15m30m,Yes
gamble,house,casino,morning|noon|afternoon|evening|nighttime,2h,No
gamble,house,casino,evening|nighttime,2h,Yes
gamble,money,casino,morning|noon|afternoon|evening|nighttime,0m15m,Yes
play,game,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
play,roulette,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
put,interest,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
put,stake,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
spend,money,casino,noon|afternoon|evening,2h,Yes
win,money,casino,morning|noon|afternoon|evening|nighttime,1h2h,Yes
win,pot,casino,morning|noon|afternoon|evening|nighttime,none,Yes
attend,funeral,cemetery,morning|noon|afternoon,30m1h,No
bury,cemetery,cemetery,morning|noon|afternoon|evening,30m1h,No
bury,family,cemetery,morning|noon|afternoon|evening,1h2h,Yes
consider,grave,cemetery,morning|noon|afternoon,30m1h,No
cremate,body,cemetery,evening,2h,No
honor,dead,cemetery,morning|noon|afternoon|evening,1h2h,Yes
leave,flower,cemetery,morning|noon|afternoon|evening,1h2h,Yes
pray,priest,cemetery,morning|afternoon|evening,1h2h,No
visit,grave,cemetery,morning|noon|afternoon,15m30m,Yes
visit,relative,cemetery,morning|noon|afternoon|evening|nighttime,30m1h,Yes
get,baptism,church,morning|noon|afternoon|evening,30m1h,Yes
idolize,God,church,morning|noon|afternoon|evening,1h2h,Yes
marry,couple,church,morning,1h2h,Yes
meet,person,church,morning|noon|afternoon|evening,1h2h,Yes
pay,due,church,morning|noon|afternoon|evening,0m15m,Yes
praise,God,church,morning|noon,1h2h,Yes
pray,God,church,morning|evening,15m30m,Yes
pray,fan,church,morning|afternoon|evening,2h,Yes
